,3/24-3/30,3/31-4/6,4/7-4/13,4/14-4/20,4/21-4/27,4/28-5/4,5/5-5/11,5/12-5/18,5/19-5/25,5/26-6/1,6/2-6/8,6/9-6/15,6/16-6/22,6/23-6/29,6/30-7/6,7/7-7/13,7/14-7/20,7/21-7/27,7/28-8/3,8/4-8/10,8/11-8/17,8/18-8/24,8/25-8/31,9/1-9/7,9/8-9/14,9/15-9/21,9/22-9/28,9/29-10/5,10/6-10/12,10/13-10/19,10/20-10/26,10/27-11/2,11/3-11/9,11/10-11/16,11/17-11/23,11/24-11/30,12/1-12/7,12/8-12/14
chest,=4+4+4+6+4+4+5+4,30,=4+4+4+4+5+4+4,=4+4+4+4+5+4+4+4+4,=4+4+4+4+3+4+4+3,=4+4+4+4+3+6+6+3,=4+4+4+4+3+6+6+3,=4+4+4+4+3+6+4+3,=3+4+4+4+3+4+3,=6+4+3+4,=6+4+3+4,=6+4+3+4,=6+1,=6+2+3,=2+2+4+2+3,=2+2+2+6+3,=2+2+2+6+3,=2+2+5+2,=2+2+4,=1+1+1+2+3+2,=5+3+3+2+2,=2+4+3+2+2+6,=6+3+1+2,=6+3+3+1+3,=6+3+3+2+2+3,=6+2+3+1+2,=6+3+3,=6+3+3+2,=6+3+3,=6+3+3+2,=3+3+6+3+2,=3+6+3,=3+6+3,=3+6+3+3+3,=3+5+6+3,=3+6+4+3+3,=3+6+3,=3
ath&cond,,,,,,,,=SUM(I14:I20),=SUM(J14:J20),=SUM(K14:K20),=SUM(L14:L20),=SUM(M14:M20),=SUM(N14:N20),=SUM(O14:O20),=SUM(P14:P20),=SUM(Q14:Q20),=SUM(R14:R20),=SUM(S14:S20),=SUM(T14:T20),=SUM(U14:U20),=SUM(V14:V20),=SUM(W14:W20),=SUM(X14:X20),=SUM(Y14:Y20),=SUM(Z14:Z20),=SUM(AA14:AA20),=SUM(AB14:AB20),=SUM(AC14:AC20),=SUM(AD14:AD20),=SUM(AE14:AE20),=SUM(AF14:AF20),=SUM(AG14:AG20),=SUM(AH14:AH20),=SUM(AI14:AI20),=SUM(AJ14:AJ20),=SUM(AK14:AK20),=SUM(AL14:AL20),=SUM(AM14:AM20)
anaerobic lactic,,,,,,,,=1+2+1,1,=1+1+1,=1+1+1+1,=1+1+1+1,=1+1+1+1,=1,=1,=1,=2,=1,=3,=3+1,=1+1+1+1+1,=1,,,=1+1,,,,,,,,,,,1
circuits (ff/crossfit),,,,,,,,,,,,,,,,,,,,,,,=1+10+4+10,10,=10,=10+7,=10,10,15,=15+15,=15,15,15,=15,12
plyos (-agility),,,,,,,,=3+2+1+1+1+1+3+3+1+3+3+3+3+3+2+4+3+1+1+3+3+3,=3+3+2+2+2+3+3+1+2+2+3+2+1,=5,=2+2+3+3+3+2,=3+2+3+3+3+2+2,=1+1+1+1+1+1+1+1+1+1,=2+2+3+2+3,=3,=2+2+2+3,=3,=2+2+2+3+3,=2+2+2+2+3,,=3+3+3+1+2+2,,,,=3,=3,=2+2,=3+3+2+2+2+2+3+3,=3+3+1+3+3+2+3+3+1+1+1+1,=3+3+2+3+1+1+1+1+2+3+3,=3+3+2+3+3+1+2+2+3+1,=1+2+1+1+1+2+3+1+1+2+2+2+1+2+5+5,=2+2+2+2+2+1+1+1+1+1+1+2+2,=3,=2+2+2+2+2+2+5,=2+2+2+2+2+2+2+2+2+2+5,=2+2+2+2+2+2+2+2+2+2+4+1,=2+2+2+2+2
power (lower),,,,,,,,=5+2+3+3,=3+5+3+3+3+4,=5+5+3+2+2,=5+5+3+3+2+2+2,=5+5+3+3+3+2+2,=3+3+2+2+5+5+3+5,=2+2+4+3+3,=4+5,=5+2+2+5,=2+3,=4+5,=5+4,=2,=4+5+2,=2+4,=4+5+3,=5+4+5+2,=3+6+5,=3+4+3,=4+5+3,=4+5+5+4,=5+5+3+4,=5+5+3+3,=3+4+4+5,=3+5+3+3,=3+4+4+5,=2+5+4,=3+4+5,=3+3+4,=4+3+4+5,=3
power (upper),,,,,,,,=2+2+3+3+2,=3+3+3+3+3+3+3+4,=3+3+3+3+3+3,=3+3+3+3+3+3+3,=3+3+3+3+3+3+3,=3+3,=3+3+3+3,=2+2+3+3+3+3,=5+2+2+2+2+3+3+1,=2+2+2+2+3+3+3,=2+2+2+2+3+3,=2+2+2+2+5,=3,=5+2+3,=3+3+2+2+2+1+1,=2+2+2+1+1,=3+3,=3,=2+2+2+2+2,=3+3,=3+2,=3+3,=3+3+2,=3+3+3,=3+3,=3+3+1,=3+3+3,=3,,=3,=5
sprints,,,,,,,,=1+1+2+2,=3+3+2,=2+2+2+2,=2+2+2+2,=2+2+1+1,=2+2+2,=3,=3,=3,,,,,,,,,,=2,3,5,=4+2,=5+2,=4+2,=4+2+2+2,,,,=2+2+2+2,=2+2+2+2
zone 2,,,,,,,,=1,1,=1,=1,0,0,0,0,0,0,,,,,=1,,2,=1,=5,=4,2,,=3,=2,,,,=1,,=1,=2
legs,=SUM(B22:B25),=SUM(C22:C25),=SUM(D22:D25),=SUM(E22:E25),=SUM(F22:F25),=SUM(G22:G25),=SUM(H22:H25),=SUM(I22:I25),=SUM(J22:J25),=SUM(K22:K25),=SUM(L22:L25),=SUM(M22:M25),=SUM(N22:N25),=SUM(O22:O25),=SUM(P22:P25),=SUM(Q22:Q25),=SUM(R22:R25),=SUM(S22:S25),=SUM(T22:T25),=SUM(U22:U25),=SUM(V22:V25),=SUM(W22:W25),=SUM(X22:X25),=SUM(Y22:Y25),=SUM(Z22:Z25),=SUM(AA22:AA25),=SUM(AB22:AB25),=SUM(AC22:AC25),=SUM(AD22:AD25),=SUM(AE22:AE25),=SUM(AF22:AF25),=SUM(AG22:AG25),=SUM(AH22:AH25),=SUM(AI22:AI25),=SUM(AJ22:AJ25),=SUM(AK22:AK25),=SUM(AL22:AL25),=SUM(AM22:AM25)
